time,symbol,weight_before,weight_after,turnover
2026-07-04 04:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-04 04:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-04 14:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-04 14:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-04 14:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-04 14:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-05 10:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-05 10:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-05 20:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-05 20:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-07 02:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-07 02:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-07 12:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-07 12:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-07 22:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-07 22:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-08 18:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-08 18:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-09 04:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-09 04:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-10 00:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-10 00:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-10 20:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-10 20:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-11 06:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-11 06:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-11 16:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-11 16:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-12 02:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-12 02:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-12 12:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-12 12:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-14 14:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-14 14:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-15 00:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-15 00:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-15 10:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-15 10:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-15 20:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-15 20:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-16 06:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-16 06:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-16 16:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-16 16:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-17 12:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-17 12:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-17 22:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-17 22:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-18 08:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-18 08:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-19 04:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-19 04:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-20 00:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-20 00:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-20 10:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-20 10:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-21 06:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-21 06:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-21 16:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-21 16:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-22 02:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-22 02:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-22 12:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-22 12:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-22 22:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-22 22:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-22 22:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-22 22:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-23 08:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-23 08:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-24 04:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-24 04:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-24 14:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-24 14:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-25 00:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-25 00:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-25 10:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-25 10:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-25 20:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-25 20:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-07-26 06:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-26 06:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-26 16:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-26 16:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-27 02:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-07-27 02:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-27 22:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-27 22:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-28 18:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-28 18:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-29 04:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-29 04:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-29 14:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-07-29 14:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-07-30 10:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-07-30 10:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-07-30 20:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-07-30 20:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-31 06:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-07-31 06:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-07-31 16:00:00+00:00,BTC/USDT,0.5,0.0,0.5
2026-07-31 16:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-01 12:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-08-01 12:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-08-01 12:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-01 12:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-08-01 22:00:00+00:00,ADA/USDT,0.5,0.0,0.5
